Date,SDK Library,Decompiled Games,Other Games
2007-05-08 12:54:34,AI,Brawl RSBE01_02 sys/main.dol,
2007-08-08 01:58:12,AI,"Galaxy RMGK01_{01,02} sys/main.dol; MKW (everywhere except Korea) sys/main.dol; Sluggers RMBE01 & USA Wii U sys/main.dol",Brawl RSBP01_01 sys/main.dol; MKW (Korea) sys/main.dol; Sluggers RMBJ01 & JPN Wii U sys/main.dol
2007-05-08 12:54:39,AX,Brawl RSBE01_02 sys/main.dol,
2007-08-08 01:58:18,AX,MKW (everywhere except Korea) sys/main.dol; Sluggers RMBE01 & USA Wii U sys/main.dol,Brawl RSBP01_01 sys/main.dol; MKW (Korea) sys/main.dol; Sluggers RMBJ01 & JPN Wii U sys/main.dol
2007-05-08 12:54:50,CARD,Brawl RSBE01_02 sys/main.dol,
2007-08-08 01:58:35,CARD,,Brawl RSBP01_01 sys/main.dol
2007-08-08 02:10:20,CNT,MKW (everywhere except Korea) sys/main.dol,Brawl RSBP01_01 sys/main.dol; MKW (Korea) sys/main.dol
2007-05-08 12:55:11,DSP,Brawl RSBE01_02 sys/main.dol,
2007-08-08 01:59:06,DSP,"Galaxy RMGK01_{01,02} sys/main.dol; MKW (everywhere except Korea) sys/main.dol; Sluggers RMBE01 & USA Wii U sys/main.dol",Brawl RSBP01_01 sys/main.dol; MKW (Korea) sys/main.dol; Sluggers RMBJ01 & JPN Wii U sys/main.dol
2007-08-02 01:46:28,DVD,Brawl RSBE01_02 sys/main.dol,
2007-08-08 01:59:13,DVD,MKW (everywhere except Korea) sys/main.dol; Sluggers RMBE01 & USA Wii U sys/main.dol,Brawl RSBP01_01 sys/main.dol; Sluggers RMBJ01 & JPN Wii U sys/main.dol
2008-02-22 06:17:35,DVD,"Galaxy RMGK01_{01,02} sys/main.dol",MKW (Korea) sys/main.dol
2007-12-25 05:12:24,DWC,Brawl RSBE01_02 sys/main.dol,
2008-03-01 09:50:41,DWC,MKW (everywhere except Korea) sys/main.dol,MKW (Korea) sys/main.dol
2007-08-08 02:10:13,ENC,MKW (everywhere except Korea) sys/main.dol,MKW (Korea) sys/main.dol
2007-06-06 02:56:20,EXI,Brawl RSBE01_02 sys/main.dol,
